ID,Age_cal,Precision
1894,14254,312
2001,31400,270
1970,26826,240
4547,15696,187
1895,14201,216
4530,13484,209
572,676,64
6767,676,64
8712,676,64
4538,1874,74
5373,1874,74
7332,1874,74
8722,1874,74
9056,1874,74
4537,1328,53
8496,1328,53
8716,1328,53
9054,1328,53
4567,21882,619
4554,18708,295
4552,18194,189
4550,17687,126
4549,17585,284
3804,23316,13799
3801,8206,104
5080,16983,337
2434,7355,82
2423,6869,122
9619,45192,165
523,31449,198
2081,31449,198
8518,31449,198
2080,28403,185
8517,28403,185
522,28110,176
8516,28110,176
8530,27662,130
692,13278,319
2823,13278,319
2824,13278,319
2825,13278,319
4253,13278,319
4841,13278,319
6241,13278,319
6781,13278,319
7187,13278,319
7441,13278,319
8393,13278,319
8736,13278,319
8999,13278,319
690,494,43
2737,494,43
2738,494,43
4237,494,43
4835,494,43
6238,494,43
6766,494,43
7183,494,43
7440,494,43
8387,494,43
8711,494,43
8991,494,43
2147,2775,68
2368,2775,68
2369,2775,68
2370,2775,68
3515,2775,68
4162,2775,68
4914,2775,68
5631,2775,68
5990,2775,68
6744,2775,68
8494,2775,68
8495,2775,68
8686,2775,68
1346,36238,1014
2705,36238,1014
4929,36238,1014
7226,36238,1014
7350,36238,1014
7402,36238,1014
8916,36238,1014
1345,25136,344
2616,25136,344
3402,25136,344
4928,25136,344
5844,25136,344
7225,25136,344
7349,25136,344
7389,25136,344
8912,25136,344
1344,24545,380
7224,24545,380
7348,24545,380
7388,24545,380
8911,24545,380
1342,12722,103
2528,12722,103
4927,12722,103
5842,12722,103
7223,12722,103
7347,12722,103
7380,12722,103
8909,12722,103
1333,6620,129
2422,6620,129
4926,6620,129
5830,6620,129
7222,6620,129
8430,6620,129
1330,4822,99
3401,4822,99
5821,4822,99
1329,2562,111
2367,2562,111
4925,2562,111
5820,2562,111
7221,2562,111
8428,2562,111
1328,2404,134
2365,2404,134
3400,2404,134
4924,2404,134
5819,2404,134
7220,2404,134
7346,2404,134
7366,2404,134
8905,2404,134
3353,49088,624
2018,39219,1025
2005,33476,336
1993,29781,383
1983,28116,230
1927,20717,140
1872,11975,94
1858,8483,37
1852,7708,34
1838,4160,46
3375,58400,0
3374,53800,0
3372,48900,0
3371,47300,0
1977,27618,164
1862,9148,102
1892,13914,103
1888,13643,119
1995,29918,429
1951,25217,234
1874,12586,79
1975,27542,135
1997,30421,304
1994,29896,328
6048,21824,13614
9064,21824,13614
9084,21824,13614
6047,19405,13577
9063,19405,13577
9083,19405,13577
3714,17227,12879
6778,17227,12879
8732,17227,12879
9062,17227,12879
9082,17227,12879
3713,15695,12774
6775,15695,12774
8731,15695,12774
9061,15695,12774
9081,15695,12774
620,6552,4139
6774,6552,4139
8730,6552,4139
8995,6552,4139
9060,6552,4139
3712,7298,6812
5643,7298,6812
8728,7298,6812
9059,7298,6812
9080,7298,6812
618,4009,796
6773,4009,796
8727,4009,796
8994,4009,796
9058,4009,796
3711,3239,794
5642,3239,794
8725,3239,794
9057,3239,794
9079,3239,794
8724,2959,21
8723,2499,748
3710,3010,2127
5580,3010,2127
6770,3010,2127
8721,3010,2127
9055,3010,2127
9614,47560,1234
17,38258,288
44,38258,288
45,38258,288
199,38258,288
200,38258,288
780,38258,288
781,38258,288
854,38258,288
933,38258,288
1046,38258,288
1228,38258,288
3614,38258,288
3615,38258,288
3952,38258,288
3953,38258,288
3973,38258,288
4300,38258,288
4464,38258,288
4716,38258,288
4862,38258,288
5132,38258,288
5133,38258,288
5349,38258,288
5350,38258,288
5391,38258,288
5392,38258,288
5736,38258,288
5737,38258,288
5921,38258,288
5922,38258,288
5964,38258,288
5965,38258,288
6005,38258,288
6252,38258,288
6413,38258,288
6414,38258,288
6542,38258,288
7573,38258,288
7885,38258,288
7952,38258,288
7953,38258,288
8001,38258,288
8237,38258,288
8330,38258,288
8477,38258,288
